Date,Price,Open,High,Low,Change %
1-May-19,6.7349,6.7369,6.7369,6.7349,0.00%
30-Apr-19,6.7349,6.7328,6.7418,6.7311,0.02%
29-Apr-19,6.7336,6.7292,6.7364,6.7265,0.06%
26-Apr-19,6.7298,6.7436,6.7436,6.7263,-0.20%
25-Apr-19,6.7431,6.7222,6.7496,6.7222,0.32%
24-Apr-19,6.7219,6.7251,6.7259,6.7145,-0.06%
23-Apr-19,6.7259,6.7114,6.7276,6.7084,0.21%
22-Apr-19,6.712,6.7036,6.7149,6.7023,0.12%
19-Apr-19,6.7042,6.7063,6.7074,6.7001,-0.07%
18-Apr-19,6.7091,6.6871,6.7095,6.6845,0.31%
17-Apr-19,6.6882,6.7108,6.7116,6.6841,-0.36%
16-Apr-19,6.7122,6.7081,6.7134,6.7054,0.05%
15-Apr-19,6.7086,6.7043,6.711,6.7036,0.06%
12-Apr-19,6.7044,6.7194,6.7235,6.6989,-0.22%
11-Apr-19,6.7194,6.7132,6.7197,6.7103,0.05%
10-Apr-19,6.716,6.7176,6.7188,6.7099,0.06%
9-Apr-19,6.7119,6.7127,6.7195,6.7079,-0.07%
8-Apr-19,6.7164,6.7144,6.7218,6.711,-0.04%
5-Apr-19,6.719,6.719,6.719,6.719,0.02%
4-Apr-19,6.7174,6.7073,6.7207,6.7065,0.09%
3-Apr-19,6.7114,6.7229,6.7229,6.705,-0.18%
2-Apr-19,6.7233,6.7176,6.7252,6.7149,0.18%
1-Apr-19,6.7115,6.7125,6.7144,6.7003,-0.01%
29-Mar-19,6.712,6.7336,6.7364,6.7066,-0.40%
28-Mar-19,6.739,6.7267,6.7408,6.7207,0.18%
27-Mar-19,6.7271,6.713,6.7278,6.7111,0.17%
26-Mar-19,6.7157,6.7071,6.7167,6.7026,0.09%
25-Mar-19,6.7094,6.7211,6.7214,6.7053,-0.13%
22-Mar-19,6.7181,6.7028,6.7183,6.6974,0.28%
21-Mar-19,6.6993,6.6806,6.7001,6.6726,0.07%
20-Mar-19,6.6946,6.7187,6.7198,6.6941,-0.26%
19-Mar-19,6.7119,6.7145,6.7211,6.7095,-0.02%
18-Mar-19,6.713,6.7138,6.718,6.7081,-0.01%
15-Mar-19,6.7138,6.7222,6.7302,6.7069,-0.14%
14-Mar-19,6.723,6.7077,6.7299,6.7031,0.24%
13-Mar-19,6.7071,6.7053,6.7123,6.7026,-0.02%
12-Mar-19,6.7085,6.7241,6.7241,6.7038,-0.27%
11-Mar-19,6.7265,6.7244,6.7315,6.7224,0.07%
8-Mar-19,6.7216,6.7268,6.7278,6.7173,0.10%
7-Mar-19,6.7149,6.7082,6.715,6.7034,0.04%
